method,bits_per_key,incoming_attempts_per_second,backend_invocations_per_second,worker_utilization,p50_wait_ms,p95_wait_ms,p99_wait_ms,fraction_wait_gt_1s,valid_drop_rate_for_rate_limit_baselines,raw_invalid_forward_rate
Adaptive tag,16.0,725.0,58.006904389880795,0.8851128523590936,37.212636209821994,343.03074562568304,556.7884308901205,0.0005371337730204339,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,725.0,57.99776216430665,0.8849733534246141,37.09378832480571,342.54101584783433,556.0394657940308,0.0005322455535530218,0.0001,5.340576171874997e-06
Global Bloom,16.0,750.0,60.31646057044858,0.9203537927293323,79.70518077281811,520.8381799666456,829.1769143259163,0.0054089126126419095,0.0,0.0004586385078964976
TRAPS learned,16.0,750.0,60.214683669888835,0.9188008044479163,77.09036169838535,509.78640072732475,812.2279530035609,0.004885497761851431,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,750.0,60.10734183494442,0.9171629022239582,74.43551318787716,498.57603996867596,795.0375458117322,0.004388244852510056,0.0,0.0001555678767310421
Peppered tag,16.0,750.0,60.010528564453125,0.9156856527328492,72.12667515683684,488.83594738068103,780.1032291938407,0.003983321706543463,0.0,1.5258789062499998e-05
Adaptive tag,16.0,750.0,60.007142472290475,0.9156339851990624,72.04733668994395,488.50140733228983,779.5903108949232,0.003969856622005694,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,750.0,59.9976849975586,0.9154896759564973,71.82623783521352,487.5691743980525,778.1610165700494,0.003932488784529722,0.0001,5.340576171874997e-06
Global Bloom,16.0,775.0,62.3270092561302,0.9510322524869766,164.33984796197205,881.8441660517232,1383.3581623780287,0.04039058699001561,0.0,0.0004586385078964976
TRAPS learned,16.0,775.0,62.22183979221847,0.9494274979295136,157.41285204681898,852.1494944766005,1337.749568448136,0.036358473977439,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,775.0,62.11091989610924,0.9477349989647569,150.56289499367168,822.8018616404166,1292.676735072333,0.03254121378777302,0.0,0.0001555678767310421
Peppered tag,16.0,775.0,62.01087951660156,0.9462085078239442,144.75013175913057,797.9123488013694,1254.453146479507,0.02944331893275783,0.0,1.5258789062499998e-05
Adaptive tag,16.0,775.0,62.00738055470016,0.9461551180390312,144.5527172038721,797.0672925574088,1253.1554081215859,0.029340477904901793,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,775.0,61.99760783081055,0.9460059984883805,144.00337241908676,794.715846103075,1249.544346655474,0.02905513806027785,0.0001,5.340576171874997e-06
Global Bloom,16.0,800.0,64.33755794181182,0.9817107122446213,528.0019302028675,2449.0483240073504,3791.802130214564,0.3016132140099773,0.0,0.0004586385078964976
TRAPS learned,16.0,800.0,64.2289959145481,0.9800541914111108,479.9025922455698,2241.404019031273,3472.64067894958,0.2705842258879945,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,800.0,64.11449795727405,0.9783070957055555,437.1206518698153,2056.754879303383,3188.8306222753886,0.2413107359257416,0.0,0.0001555678767310421
Peppered tag,16.0,800.0,64.01123046875,0.9767313629150391,404.03515517348205,1913.9890970152787,2969.4016102916285,0.217634701297666,0.0,1.5258789062499998e-05
Adaptive tag,16.0,800.0,64.00761863710984,0.9766762508789999,402.9587151677876,1909.3447642309118,2962.2634274762827,0.21685005924800607,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,800.0,63.99753066406251,0.9765223210202639,399.97888918140575,1896.4884171482872,2942.5036884001925,0.21467347879614324,0.0001,5.340576171874997e-06
Global Bloom,16.0,825.0,66.34810662749344,1.0123891720022655,10000.0,10000.0,10000.0,1.0,0.0,0.0004586385078964976
TRAPS learned,16.0,825.0,66.23615203687773,1.010680884892708,10000.0,10000.0,10000.0,1.0,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,825.0,66.11807601843887,1.0088791924463543,10000.0,10000.0,10000.0,1.0,0.0,0.0001555678767310421
Peppered tag,16.0,825.0,66.01158142089844,1.0072542180061341,10000.0,10000.0,10000.0,1.0,0.0,1.5258789062499998e-05
Adaptive tag,16.0,825.0,66.00785671951952,1.0071973837189685,10000.0,10000.0,10000.0,1.0,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,825.0,65.99745349731447,1.0070386435521472,10000.0,10000.0,10000.0,1.0,0.0001,5.340576171874997e-06
Global Bloom,16.0,850.0,68.35865531317506,1.0430676317599101,10000.0,10000.0,10000.0,1.0,0.0,0.0004586385078964976
TRAPS learned,16.0,850.0,68.24330815920734,1.041307578374305,10000.0,10000.0,10000.0,1.0,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,850.0,68.12165407960369,1.0394512891871528,10000.0,10000.0,10000.0,1.0,0.0,0.0001555678767310421
Peppered tag,16.0,850.0,68.01193237304688,1.037777073097229,10000.0,10000.0,10000.0,1.0,0.0,1.5258789062499998e-05
Adaptive tag,16.0,850.0,68.0080948019292,1.0377185165589373,10000.0,10000.0,10000.0,1.0,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,850.0,67.99737633056641,1.0375549660840302,10000.0,10000.0,10000.0,1.0,0.0001,5.340576171874997e-06
Global Bloom,16.0,875.0,70.36920399885668,1.0737460915175543,10000.0,10000.0,10000.0,1.0,0.0,0.0004586385078964976
TRAPS learned,16.0,875.0,70.25046428153698,1.0719342718559024,10000.0,10000.0,10000.0,1.0,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,875.0,70.12523214076849,1.0700233859279513,10000.0,10000.0,10000.0,1.0,0.0,0.0001555678767310421
Peppered tag,16.0,875.0,70.01228332519531,1.068299928188324,10000.0,10000.0,10000.0,1.0,0.0,1.5258789062499998e-05
Adaptive tag,16.0,875.0,70.00833288433888,1.068239649398906,10000.0,10000.0,10000.0,1.0,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,875.0,69.99729916381837,1.0680712886159136,10000.0,10000.0,10000.0,1.0,0.0001,5.340576171874997e-06
Global Bloom,16.0,900.0,72.37975268453829,1.1044245512751987,10000.0,10000.0,10000.0,1.0,0.0,0.0004586385078964976
TRAPS learned,16.0,900.0,72.25762040386661,1.1025609653374997,10000.0,10000.0,10000.0,1.0,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,900.0,72.1288102019333,1.1005954826687498,10000.0,10000.0,10000.0,1.0,0.0,0.0001555678767310421
Peppered tag,16.0,900.0,72.01263427734375,1.098822783279419,10000.0,10000.0,10000.0,1.0,0.0,1.5258789062499998e-05
Adaptive tag,16.0,900.0,72.00857096674858,1.098760782238875,10000.0,10000.0,10000.0,1.0,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,900.0,71.99722199707033,1.098587611147797,10000.0,10000.0,10000.0,1.0,0.0001,5.340576171874997e-06
Global Bloom,16.0,925.0,74.39030137021992,1.1351030110328433,10000.0,10000.0,10000.0,1.0,0.0,0.0004586385078964976
TRAPS learned,16.0,925.0,74.26477652619623,1.1331876588190968,10000.0,10000.0,10000.0,1.0,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,925.0,74.13238826309812,1.1311675794095486,10000.0,10000.0,10000.0,1.0,0.0,0.0001555678767310421
Peppered tag,16.0,925.0,74.01298522949219,1.129345638370514,10000.0,10000.0,10000.0,1.0,0.0,1.5258789062499998e-05
Adaptive tag,16.0,925.0,74.00880904915826,1.1292819150788436,10000.0,10000.0,10000.0,1.0,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,925.0,73.99714483032227,1.12910393367968,10000.0,10000.0,10000.0,1.0,0.0001,5.340576171874997e-06
Global Bloom,16.0,950.0,76.40085005590153,1.1657814707904874,10000.0,10000.0,10000.0,1.0,0.0,0.0004586385078964976
TRAPS learned,16.0,950.0,76.27193264852586,1.163814352300694,10000.0,10000.0,10000.0,1.0,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,950.0,76.13596632426294,1.1617396761503471,10000.0,10000.0,10000.0,1.0,0.0,0.0001555678767310421
Peppered tag,16.0,950.0,76.01333618164062,1.159868493461609,10000.0,10000.0,10000.0,1.0,0.0,1.5258789062499998e-05
Adaptive tag,16.0,950.0,76.00904713156794,1.1598030479188124,10000.0,10000.0,10000.0,1.0,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,950.0,75.99706766357423,1.1596202562115634,10000.0,10000.0,10000.0,1.0,0.0001,5.340576171874997e-06
Global Bloom,16.0,975.0,78.41139874158316,1.196459930548132,10000.0,10000.0,10000.0,1.0,0.0,0.0004586385078964976
TRAPS learned,16.0,975.0,78.2790887708555,1.1944410457822914,10000.0,10000.0,10000.0,1.0,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,975.0,78.13954438542775,1.1923117728911459,10000.0,10000.0,10000.0,1.0,0.0,0.0001555678767310421
Peppered tag,16.0,975.0,78.01368713378906,1.190391348552704,10000.0,10000.0,10000.0,1.0,0.0,1.5258789062499998e-05
Adaptive tag,16.0,975.0,78.00928521397762,1.190324180758781,10000.0,10000.0,10000.0,1.0,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,975.0,77.99699049682619,1.1901365787434466,10000.0,10000.0,10000.0,1.0,0.0001,5.340576171874997e-06
Global Bloom,16.0,1000.0,80.42194742726477,1.2271383903057764,10000.0,10000.0,10000.0,1.0,0.0,0.0004586385078964976
TRAPS learned,16.0,1000.0,80.28624489318511,1.2250677392638885,10000.0,10000.0,10000.0,1.0,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,1000.0,80.14312244659257,1.2228838696319444,10000.0,10000.0,10000.0,1.0,0.0,0.0001555678767310421
Peppered tag,16.0,1000.0,80.0140380859375,1.220914203643799,10000.0,10000.0,10000.0,1.0,0.0,1.5258789062499998e-05
Adaptive tag,16.0,1000.0,80.0095232963873,1.2208453135987498,10000.0,10000.0,10000.0,1.0,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,1000.0,79.99691333007813,1.2206529012753298,10000.0,10000.0,10000.0,1.0,0.0001,5.340576171874997e-06
