method,bits_per_key,incoming_attempts_per_second,backend_invocations_per_second,worker_utilization,p50_wait_ms,p95_wait_ms,p99_wait_ms,fraction_wait_gt_1s,valid_drop_rate_for_rate_limit_baselines,raw_invalid_forward_rate
RateLimit+Tag,16.0,275.0,21.999151165771487,0.3356795478507157,0.0,0.0,0.0,1.2362717039365445e-19,0.0001,5.340576171874997e-06
Global Bloom,16.0,300.0,24.126584228179432,0.36814151709173293,0.0,0.0,3.7390229479428516,1.0376391965603893e-18,0.0,0.0004586385078964976
TRAPS learned,16.0,300.0,24.085873467955533,0.3675203217791665,0.0,0.0,3.5058681218267673,9.962444390840858e-19,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,300.0,24.04293673397777,0.3668651608895833,0.0,0.0,3.2598858532040724,9.543742730436175e-19,0.0,0.0001555678767310421
Peppered tag,16.0,300.0,24.00421142578125,0.36627426109313965,0.0,0.0,3.037959412057552,9.181222999255737e-19,0.0,1.5258789062499998e-05
Adaptive tag,16.0,300.0,24.00285698891619,0.36625359407962493,0.0,0.0,3.030196183708976,9.168796030031624e-19,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,300.0,23.99907399902344,0.36619587038259893,0.0,0.0,3.008512765552851,9.13417609204621e-19,0.0001,5.340576171874997e-06
Global Bloom,16.0,325.0,26.137132913861052,0.39881997684937737,0.0,0.0,15.197849619643643,7.74848093033833e-18,0.0,0.0004586385078964976
TRAPS learned,16.0,325.0,26.093029590285163,0.39814701526076374,0.0,0.0,14.946968272249755,7.414173392207217e-18,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,325.0,26.046514795142585,0.39743725763038196,0.0,0.0,14.682377915088423,7.077202457127853e-18,0.0,0.0001555678767310421
Peppered tag,16.0,325.0,26.004562377929688,0.39679711618423463,0.0,0.0,14.443745426019298,6.786438477107935e-18,0.0,1.5258789062499998e-05
Adaptive tag,16.0,325.0,26.003095071325873,0.3967747269195937,0.0,0.0,14.435399211239622,6.776487993104814e-18,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,325.0,25.998996832275395,0.39671219291448223,0.0,0.0,14.412087961826268,6.748773155192397e-18,0.0001,5.340576171874997e-06
Global Bloom,16.0,350.0,28.147681599542672,0.42949843660702175,0.0,0.0,26.677140862632125,5.786111099776922e-17,0.0,0.0004586385078964976
TRAPS learned,16.0,350.0,28.100185712614792,0.428773708742361,0.0,0.0,26.404276386449915,5.517718838185038e-17,0.0,0.0003111357534620842
