seed,method,method_kind,bits_per_key,N_keys,N_valid,N_events,N_invalid,N_invalid_unique,N_invalid_repeated,valid_forwarded,valid_rejected,valid_throttled,invalid_forwarded,invalid_forwarded_unique,invalid_forwarded_repeated,invalid_rejected_by_index,invalid_rejected_by_cache,invalid_throttled,raw_invalid_forward_rate,first_seen_invalid_forward_rate,replay_suppression_rate,backend_work_reduction,valid_rejection_rate,backend_invocations,probe_cost
0,Risk partition,one-sided AMQ,12.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,2143,1100,1043,997857,0,0,0.002143,0.0022,0.0,0.95034,0.0,52143,9.345582228078927
0,TRAPS learned,one-sided AMQ,12.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,2172,1093,1079,997828,0,0,0.002172,0.002186,0.0,0.9503123809523809,0.0,52172,9.924883810809046
0,TRAPS+ReplayCache,one-sided AMQ+cache,12.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1093,1093,0,498907,500000,0,0.001093,0.002186,1.0,0.95134,0.0,51093,9.924883810809046
0,Oracle AMQ,oracle,12.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1900,974,926,998100,0,0,0.0019,0.001948,0.0,0.9505714285714286,0.0,51900,9.505618821970675
0,Peppered tag,one-sided tag,12.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,223,120,103,999777,0,0,0.000223,0.00024,0.0,0.9521685714285715,0.0,50223,1.0
0,Peppered tag-64,production upper bound,12.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,0,0,0,1000000,0,0,0.0,0.0,0.0,0.9523809523809523,0.0,50000,1.0
0,Adaptive tag,one-sided tag,12.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,167,97,70,999833,0,0,0.000167,0.000194,0.0,0.9522219047619047,0.0,50167,1.0
0,Tag+NegCache,one-sided tag+cache,12.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,120,120,0,499880,500000,0,0.00012,0.00024,1.0,0.9522666666666667,0.0,50120,1.0
0,NegCache only,exact cache,12.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,500000,500000,0,0,500000,0,0.5,1.0,1.0,0.47619047619047616,0.0,550000,0.0
0,RateLimit+Tag,operational,12.0,200000,50000,1050000,1000000,500000,500000,49997,0,3,75,39,36,999925,0,0,7.5e-05,7.8e-05,0.0,0.9523123809523809,6e-05,50072,1.0
