method,request_rate,backend_rate,forward_fraction,p95_latency_ms,utilization
Keyed tag,700.0,56.00982666015625,0.0800140380859375,380.0696802497928,0.8546399425506592
Adaptive tag,700.0,56.005006309478055,0.08000715187068294,379.90660738789404,0.8545663900247483
Backend only,725.0,725.0,1.0,10000.0,2.0
Global Bloom,725.0,58.305911884766964,0.08042194742726477,481.7894829057533,0.889675332971688
Risk partition,725.0,58.1643322528591,0.08022666517635738,473.7212666970087,0.8875150047633138
TRAPS learned,725.0,58.15585046636483,0.08021496616050322,473.2475922635398,0.8873855833036445
Keyed tag,725.0,58.01017761230469,0.0800140380859375,465.27636978585076,0.8851627976417542
Adaptive tag,725.0,58.00518510624513,0.08000715187068294,465.00855792749655,0.885086618239918
Backend only,750.0,750.0,1.0,10000.0,2.0
Global Bloom,750.0,60.31646057044858,0.08042194742726477,642.9081799666457,0.9203537927293323
Risk partition,750.0,60.16999888226803,0.08022666517635738,627.135622346015,0.9181189704448074
TRAPS learned,750.0,60.16122462037742,0.08021496616050322,626.217804969441,0.917985086176184
Keyed tag,750.0,60.010528564453125,0.0800140380859375,610.905947380681,0.9156856527328492
Adaptive tag,750.0,60.0053639030122,0.08000715187068294,610.3958505188731,0.9156068464550875
Backend only,775.0,775.0,1.0,10000.0,2.0
Global Bloom,775.0,62.3270092561302,0.08042194742726477,1003.914166051723,0.9510322524869766
Risk partition,775.0,62.17566551167697,0.08022666517635738,961.7677879042571,0.948722936126301
TRAPS learned,775.0,62.166598774389996,0.08021496616050322,959.3627577773087,0.9485845890487234
Keyed tag,775.0,62.01087951660156,0.0800140380859375,919.9823488013694,0.9462085078239442
Adaptive tag,775.0,62.00554269977928,0.08000715187068294,918.6940895845732,0.9461270746702571
Backend only,800.0,800.0,1.0,10000.0,2.0
Global Bloom,800.0,64.33755794181182,0.08042194742726477,2571.1183240073506,0.9817107122446213
Risk partition,800.0,64.1813321410859,0.08022666517635738,2282.817108293828,0.9793269018077946
TRAPS learned,800.0,64.17197292840258,0.08021496616050322,2267.641144098839,0.979184091921263
Keyed tag,800.0,64.01123046875,0.0800140380859375,2036.0590970152787,0.9767313629150391
Adaptive tag,800.0,64.00572149654636,0.08000715187068294,2028.9840714608772,0.9766473028854268
Backend only,825.0,825.0,1.0,10000.0,2.0
Global Bloom,825.0,66.34810662749344,0.08042194742726477,10000.0,1.0123891720022655
Risk partition,825.0,66.18699877049484,0.08022666517635738,10000.0,1.0099308674892882
TRAPS learned,825.0,66.17734708241515,0.08021496616050322,10000.0,1.0097835947938023
Keyed tag,825.0,66.01158142089844,0.0800140380859375,10000.0,1.0072542180061341
Adaptive tag,825.0,66.00590029331343,0.08000715187068294,10000.0,1.0071675311005963
Backend only,850.0,850.0,1.0,10000.0,2.0
Global Bloom,850.0,68.35865531317506,0.08042194742726477,10000.0,1.0430676317599101
Risk partition,850.0,68.19266539990377,0.08022666517635738,10000.0,1.0405348331707818
TRAPS learned,850.0,68.18272123642774,0.08021496616050322,10000.0,1.0403830976663417
Keyed tag,850.0,68.01193237304688,0.0800140380859375,10000.0,1.037777073097229
Adaptive tag,850.0,68.0060790900805,0.08000715187068294,10000.0,1.037687759315766
Backend only,875.0,875.0,1.0,10000.0,2.0
Global Bloom,875.0,70.36920399885668,0.08042194742726477,10000.0,1.0737460915175543
Risk partition,875.0,70.19833202931271,0.08022666517635738,10000.0,1.0711387988522754
TRAPS learned,875.0,70.18809539044032,0.08021496616050322,10000.0,1.0709826005388814
