seed,bits_per_key,replay_fraction,occupancy_injection_fraction,method,raw_invalid_forward_rate,first_seen_invalid_forward_rate,valid_rejects
3,16.0,0.0,0.01,Adaptive tag,1.561572259581129e-05,1.561572259581129e-05,0
4,16.0,0.0,0.01,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
4,16.0,0.0,0.01,Risk partition,0.0004988385207782305,0.0004988385207782305,0
4,16.0,0.0,0.01,TRAPS learned,0.0006952534501879299,0.0006952534501879299,0
4,16.0,0.0,0.01,TRAPS+ReplayCache,0.0006952534501879299,0.0006952534501879299,0
4,16.0,0.0,0.01,Oracle AMQ,0.0003672588873390619,0.0003672588873390619,0
4,16.0,0.0,0.01,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
4,16.0,0.0,0.01,Adaptive tag,2.3130909329983887e-05,2.3130909329983887e-05,0
5,16.0,0.0,0.01,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
5,16.0,0.0,0.01,Risk partition,0.000456479440455202,0.000456479440455202,0
5,16.0,0.0,0.01,TRAPS learned,0.000540429131042381,0.000540429131042381,0
5,16.0,0.0,0.01,TRAPS+ReplayCache,0.000540429131042381,0.000540429131042381,0
5,16.0,0.0,0.01,Oracle AMQ,0.0003726016139849982,0.0003726016139849982,0
5,16.0,0.0,0.01,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
5,16.0,0.0,0.01,Adaptive tag,1.7979942747561083e-05,1.7979942747561083e-05,0
6,16.0,0.0,0.01,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
6,16.0,0.0,0.01,Risk partition,0.0004635451278942636,0.0004635451278942636,0
6,16.0,0.0,0.01,TRAPS learned,0.0004922838465493825,0.0004922838465493825,0
6,16.0,0.0,0.01,TRAPS+ReplayCache,0.0004922838465493825,0.0004922838465493825,0
6,16.0,0.0,0.01,Oracle AMQ,0.00038000066768557916,0.00038000066768557916,0
6,16.0,0.0,0.01,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
6,16.0,0.0,0.01,Adaptive tag,1.637816110955152e-05,1.637816110955152e-05,0
