seed,bits_per_key,target_skew,risk_drift,replay_fraction,occupancy_injection,epoch_id,method,adaptation_mode,monitor_window_events,test_window_events,total_bits,region_bits_json,region_key_counts_json,region_query_counts_json,region_negative_counts_json,region_backend_invalid_counts_json,raw_invalid,unique_invalid,repeated_invalid,raw_invalid_forwarded,first_seen_invalid_forwarded,raw_invalid_forward_rate,first_seen_invalid_forward_rate,valid_attempts,valid_rejects,cap_violations,replay_hits,backend_calls,frontend_probes,rebuild_regions,rebuild_keys,rebuild_bytes,dual_query_fraction,drift_metric,fallback_triggered,uses_future_labels
6,12.0,0.4,0.0,0.5,0.0,1,TRAPS-drift-guard,global-fallback-if-outside-validation-envelope,200000,1050000,2400000,"[9.97146282,10.14100662,11.13975081,11.2751766,12.03188552,11.17095117,11.89991338,12.246889,12.88252859,13.66869696,13.18184963,13.43259232,13.21304513,13.22025409,13.15621153,14.21007738]","[14862,18305,17106,16555,15529,15423,13995,11955,11375,12395,11606,10029,9551,8185,7367,5762]","[4757,6355,9596,9912,13374,8784,11315,11419,14743,23438,17367,16931,14508,12480,10889,14132]","[11806,16053,24322,24817,33567,21833,27839,28019,36864,58681,43790,42127,36616,30721,27370,35574]","[98,123,115,110,104,102,92,78,76,82,78,66,64,54,49,39]",1000000,500000,500000,1329,1329,0.001329,0.002658,50000,0,0,500000,51329,9070864.395725897,16,200000,300000.0,0.1,1.0468533711548828e-05,false,false
7,12.0,0.4,0.0,0.5,0.0,1,TRAPS-frozen,frozen-validation-allocation,200000,1050000,2400000,"[9.05406386,10.99592976,10.88994345,11.13209322,12.23006924,12.17228204,11.81900929,12.32690023,12.53613674,13.21377414,13.37062295,12.76250794,12.70368543,13.8780078,14.1740299,14.15153502]","[17862,16965,18383,14665,14905,14922,12872,12913,13389,11699,9266,9850,9850,7792,8212,6454]","[3668,8511,9050,8094,13940,13409,9847,12652,14358,17588,15045,11909,11574,15792,19452,15111]","[9039,21824,22474,20141,34691,33780,24592,31487,36101,43682,37304,29611,28785,40034,48640,37816]","[117,111,120,96,97,97,84,84,87,76,61,64,64,51,54,42]",1000000,500000,500000,1306,1306,0.001306,0.002612,50000,0,0,500000,51306,9327930.080074208,0,0,0,0.0,8.722651213834555e-06,false,false
7,12.0,0.4,0.0,0.5,0.0,1,TRAPS-dynamic-next-epoch,observed-next-epoch-allocation,200000,1050000,2400000,"[9.08257394,10.94258221,10.90263056,11.14061398,12.23836188,12.15536661,11.82004845,12.33510989,12.52320102,13.22616894,13.38648349,12.77262513,12.71329002,13.84817442,14.17249732,14.14829044]","[17862,16965,18383,14665,14905,14922,12872,12913,13389,11699,9266,9850,9850,7792,8212,6454]","[3668,8511,9050,8094,13940,13409,9847,12652,14358,17588,15045,11909,11574,15792,19452,15111]","[9039,21824,22474,20141,34691,33780,24592,31487,36101,43682,37304,29611,28785,40034,48640,37816]","[115,114,119,95,97,98,84,84,88,76,60,64,64,52,54,42]",1000000,500000,500000,1306,1306,0.001306,0.002612,50000,0,0,500000,51306,9327930.080074208,16,200000,300000.0,0.1,8.722651213834555e-06,false,false
7,12.0,0.4,0.0,0.5,0.0,1,TRAPS-drift-guard,global-fallback-if-outside-validation-envelope,200000,1050000,2400000,"[9.08257394,10.94258221,10.90263056,11.14061398,12.23836188,12.15536661,11.82004845,12.33510989,12.52320102,13.22616894,13.38648349,12.77262513,12.71329002,13.84817442,14.17249732,14.14829044]","[17862,16965,18383,14665,14905,14922,12872,12913,13389,11699,9266,9850,9850,7792,8212,6454]","[3668,8511,9050,8094,13940,13409,9847,12652,14358,17588,15045,11909,11574,15792,19452,15111]","[9039,21824,22474,20141,34691,33780,24592,31487,36101,43682,37304,29611,28785,40034,48640,37816]","[115,114,119,95,97,98,84,84,88,76,60,64,64,52,54,42]",1000000,500000,500000,1306,1306,0.001306,0.002612,50000,0,0,500000,51306,9327930.080074208,16,200000,300000.0,0.1,8.722651213834555e-06,false,false
8,12.0,0.4,0.0,0.5,0.0,1,TRAPS-frozen,frozen-validation-allocation,200000,1050000,2400000,"[10.18080341,9.85995779,10.88665314,10.77464626,12.09342965,11.48356718,12.84084643,12.81123228,13.58428267,13.47705415,12.61116342,11.89140986,13.33588667,13.86087289,13.32208121,15.26824798]","[15941,17247,18748,18228,14846,14059,15026,11437,11079,10021,10449,11476,10100,7749,8609,4985]","[5258,4983,8829,8142,12517,8798,18366,13811,19339,16407,11346,8910,15669,15079,13231,19315]","[13456,12479,22215,20467,31412,22191,45527,34163,47980,41217,28352,22035,38819,38330,32869,48488]","[101,109,119,116,94,89,95,73,70,64,66,73,64,49,55,32]",1000000,500000,500000,1268,1268,0.001268,0.002536,50000,0,0,500000,51268,9333768.879778827,0,0,0,0.0,9.920626379150615e-06,false,false
8,12.0,0.4,0.0,0.5,0.0,1,TRAPS-dynamic-next-epoch,observed-next-epoch-allocation,200000,1050000,2400000,"[10.13664792,9.86049012,10.87748075,10.76742239,12.08961924,11.46936589,12.86237079,12.83716638,13.60408249,13.47110523,12.61612693,11.91781385,13.35861735,13.83061431,13.33919425,15.26374242]","[15941,17247,18748,18228,14846,14059,15026,11437,11079,10021,10449,11476,10100,7749,8609,4985]","[5258,4983,8829,8142,12517,8798,18366,13811,19339,16407,11346,8910,15669,15079,13231,19315]","[13456,12479,22215,20467,31412,22191,45527,34163,47980,41217,28352,22035,38819,38330,32869,48488]","[103,109,119,116,94,90,94,72,70,64,66,72,63,50,54,32]",1000000,500000,500000,1268,1268,0.001268,0.002536,50000,0,0,500000,51268,9333768.879778827,16,200000,300000.0,0.1,9.920626379150615e-06,false,false
8,12.0,0.4,0.0,0.5,0.0,1,TRAPS-drift-guard,global-fallback-if-outside-validation-envelope,200000,1050000,2400000,"[10.13664792,9.86049012,10.87748075,10.76742239,12.08961924,11.46936589,12.86237079,12.83716638,13.60408249,13.47110523,12.61612693,11.91781385,13.35861735,13.83061431,13.33919425,15.26374242]","[15941,17247,18748,18228,14846,14059,15026,11437,11079,10021,10449,11476,10100,7749,8609,4985]","[5258,4983,8829,8142,12517,8798,18366,13811,19339,16407,11346,8910,15669,15079,13231,19315]","[13456,12479,22215,20467,31412,22191,45527,34163,47980,41217,28352,22035,38819,38330,32869,48488]","[103,109,119,116,94,90,94,72,70,64,66,72,63,50,54,32]",1000000,500000,500000,1268,1268,0.001268,0.002536,50000,0,0,500000,51268,9333768.879778827,16,200000,300000.0,0.1,9.920626379150615e-06,false,false
9,12.0,0.4,0.0,0.5,0.0,1,TRAPS-frozen,frozen-validation-allocation,200000,1050000,2400000,"[9.81752817,11.23671667,11.50453902,11.27561499,10.87099942,11.37000807,12.39485273,12.16236229,13.31979945,13.02232556,12.2003154,13.60401828,13.31866557,14.00337379,13.9925897,14.14183877]","[20182,17068,14879,15658,17245,14193,13928,11388,12009,12287,13176,10580,9965,5766,5804,5871]","[5795,10093,9883,9310,8504,8852,13982,10354,18987,17135,12243,19499,15849,12797,12771,13946]","[14930,24968,24756,23339,21162,22136,35543,25990,47795,42387,30625,48268,39638,31869,31912,34681]","[134,113,98,104,114,94,92,75,79,81,87,70,66,38,38,39]",1000000,500000,500000,1323,1323,0.001323,0.002646,50000,0,0,500000,51323,9230814.316143448,0,0,0,0.0,9.864316572830286e-06,false,false
9,12.0,0.4,0.0,0.5,0.0,1,TRAPS-dynamic-next-epoch,observed-next-epoch-allocation,200000,1050000,2400000,"[9.76073786,11.26362574,11.50569187,11.27519642,10.88572624,11.37466886,12.36570587,12.159192,13.31085448,13.04930079,12.2043583,13.62958021,13.32307839,14.01653042,13.99880618,14.15794951]","[20182,17068,14879,15658,17245,14193,13928,11388,12009,12287,13176,10580,9965,5766,5804,5871]","[5795,10093,9883,9310,8504,8852,13982,10354,18987,17135,12243,19499,15849,12797,12771,13946]","[14930,24968,24756,23339,21162,22136,35543,25990,47795,42387,30625,48268,39638,31869,31912,34681]","[137,111,98,104,113,94,93,75,80,80,87,69,66,38,38,39]",1000000,500000,500000,1323,1323,0.001323,0.002646,50000,0,0,500000,51323,9230814.316143448,16,200000,300000.0,0.1,9.864316572830286e-06,false,false
9,12.0,0.4,0.0,0.5,0.0,1,TRAPS-drift-guard,global-fallback-if-outside-validation-envelope,200000,1050000,2400000,"[9.76073786,11.26362574,11.50569187,11.27519642,10.88572624,11.37466886,12.36570587,12.159192,13.31085448,13.04930079,12.2043583,13.62958021,13.32307839,14.01653042,13.99880618,14.15794951]","[20182,17068,14879,15658,17245,14193,13928,11388,12009,12287,13176,10580,9965,5766,5804,5871]","[5795,10093,9883,9310,8504,8852,13982,10354,18987,17135,12243,19499,15849,12797,12771,13946]","[14930,24968,24756,23339,21162,22136,35543,25990,47795,42387,30625,48268,39638,31869,31912,34681]","[137,111,98,104,113,94,93,75,80,80,87,69,66,38,38,39]",1000000,500000,500000,1323,1323,0.001323,0.002646,50000,0,0,500000,51323,9230814.316143448,16,200000,300000.0,0.1,9.864316572830286e-06,false,false
0,12.0,0.4,0.25,0.5,0.0,1,TRAPS-frozen,frozen-validation-allocation,200000,1050000,2400000,"[10.03629228,11.09639818,11.30324854,11.24068422,11.75787229,11.68689754,12.526194,11.56837561,12.86970784,11.95928204,12.63872886,13.2562167,13.33482407,13.46746854,14.02045929,14.34516854]","[19289,14769,16687,14333,14905,14283,12411,12561,12390,16896,12074,8151,8985,10657,6745,4863]","[8751,10215,12656,10244,11630,9541,12362,8449,15221,13533,13256,13934,14452,16935,15510,13311]","[24223,26624,33399,26484,29351,22306,29601,20962,36904,32859,32709,36300,35306,41223,38419,33330]","[195,129,146,120,103,81,72,81,76,105,75,62,58,64,46,34]",1000000,500000,500000,1448,1448,0.001448,0.002896,50000,0,0,500000,51448,9095765.54079847,0,0,0,0.0,0.0015754874777382973,false,false
