kind,denominator,upper_95,retained_tokens,memory_mib
cache_128,,,146068.6320364989,2.2288304448928664
cache_128,,,168984.97868124588,2.5785061444281903
cache_128,,,195496.61430912596,2.983041600175872
cache_128,,,226167.59492228646,3.451043623692115
cache_128,,,261650.46987488234,3.9924693279248404
cache_128,,,302700.1653763468,4.618837972661542
cache_128,,,350190.0461431713,5.343476045885793
cache_128,,,405130.4969235378,6.181800795342069
cache_128,,,468690.4192314192,7.151648242666919
cache_128,,,542222.1006501592,8.273652658846423
cache_128,,,627289.9858196257,9.571685574640284
cache_128,,,725703.9612324216,11.073363666266198
cache_128,,,839557.8619995121,12.81063632201404
cache_128,,,971274.0198471168,14.820465390733593
cache_128,,,1123654.8001387515,17.145611574382805
cache_128,,,1299942.2244132475,19.835544195758782
cache_128,,,1503886.94695541,22.94749369743973
cache_128,,,1739828.0529303658,26.547669264684536
cache_128,,,2012785.3758499385,30.712667478178993
cache_128,,,2328566.2984981965,35.53110196683039
cache_128,,,2693889.3095901753,41.10548873276024
cache_128,,,3116526.9449294303,47.55442726027573
cache_128,,,3605471.154250506,55.01512381363687
cache_128,,,4171124.6120565245,63.64631060877265
cache_128,,,4825522.042741279,73.63162296663329
cache_128,,,5582586.2688627,85.18350629978485
cache_128,,,6458424.430196991,98.54773605647264
cache_128,,,7471670.675868082,114.00864678753787
cache_128,,,8643882.620598279,131.89518158871886
cache_128,,,10000000.0,152.587890625
cache_192,,,100.0,0.002288818359375
cache_192,,,115.68875283162821,0.0026479054145422715
cache_192,,,133.83887531737562,0.003063328750245109
cache_192,,,154.8365256585499,0.0035439268262912726
cache_192,,,179.1284454622004,0.004099924746601877
cache_192,,,207.23146452190295,0.0047431518063790045
cache_192,,,239.74349678010785,0.00548729316971072
cache_192,,,277.35626141984153,0.006348181032253453
cache_192,,,320.869999737045,0.007344131463708001
cache_192,,,371.21050090663607,0.008496334096678987
cache_192,,,429.4487988789272,0.009829302952856306
cache_192,,,496.8239594734388,0.011371397998201877
cache_192,,,574.7694424835353,0.013155428523640485
cache_192,,,664.9435996665046,0.015219351188655958
cache_192,,,769.2649574879146,0.017607077579221676
cache_192,,,889.9530352885233,0.020369408461498796
cache_192,,,1029.5755673125127,0.023565114608288102
cache_192,,,1191.1031332830069,0.027262187193672335
cache_192,,,1377.9723598335568,0.031539284358983385
cache_192,,,1594.1590374559996,0.0364874047269287
cache_192,,,1844.2627085855347,0.04221182346921237
cache_192,,,2133.604526501411,0.04883433211902033
cache_192,,,2468.340467068651,0.05649582978214991
cache_192,,,2855.5923019901093,0.06535932087684881
cache_192,,,3303.5991201283396,0.0756133831816484
cache_192,,,3821.892620633119,0.08747617997664914
cache_192,,,4421.499907374487,0.10120010163973586
cache_192,,,5115.178099293145,0.11707713545135068
cache_192,,,5917.685748188825,0.13544507785466364
cache_192,,,6846.096838574657,0.15669472134188822
cache_192,,,7920.164050192557,0.18127816887342582
cache_192,,,9162.73901188674,0.20971845272567918
cache_192,,,10600.258488068825,0.24262066241612606
cache_192,,,12263.306841775644,0.2806848184610514
cache_192,,,14187.266741165962,0.3247207658653098
cache_192,,,16413.0719537513,0.37566540421488875
cache_192,,,18988.078244652614,0.43460262095609925
cache_192,,,21967.070907932353,0.5027863519576802
cache_192,,,25413.43036702639,0.5816672599874815
cache_192,,,29400.48064334714,0.6729235987094224
cache_192,,,34013.04938279253,0.7784969188566406
cache_192,,,39349.272630958454,0.9006333762578992
cache_192,,,45522.682755073096,1.04193152057815
cache_192,,,52664.623934842806,1.2053975815164826
cache_192,,,60927.04661368687,1.3945094287190294
cache_192,,,70485.74036451904,1.6132905662045067
cache_192,,,81544.07395185171,1.866395735592309
cache_192,,,94337.32216299773,2.159209949409433
cache_192,,,109137.67146512738,2.497963061488206
cache_192,,,126260.01098748577,2.8898623120304667
cache_192,,,146068.6320364989,3.3432456673393
cache_192,,,168984.97868124588,3.8677592166422854
cache_192,,,195496.61430912596,4.4745624002638085
cache_192,,,226167.59492228646,5.176565435538173
cache_192,,,261650.46987488234,5.98870399188726
cache_192,,,302700.1653763468,6.928256958992312
cache_192,,,350190.0461431713,8.015214068828689
cache_192,,,405130.4969235378,9.272701193013102
cache_192,,,468690.4192314192,10.727472364000379
cache_192,,,542222.1006501592,12.410478988269634
cache_192,,,627289.9858196257,14.357528361960426
cache_192,,,725703.9612324216,16.6100454993993
cache_192,,,839557.8619995121,19.215954483021058
cache_192,,,971274.0198471168,22.23069808610039
cache_192,,,1123654.8001387515,25.718417361574208
cache_192,,,1299942.2244132475,29.75331629363817
cache_192,,,1503886.94695541,34.421240546159595
cache_192,,,1739828.0529303658,39.8215038970268
cache_192,,,2012785.3758499385,46.06900121726849
cache_192,,,2328566.2984981965,53.29665295024559
cache_192,,,2693889.3095901753,61.65823309914036
cache_192,,,3116526.9449294303,71.3316408904136
cache_192,,,3605471.154250506,82.5226857204553
cache_192,,,4171124.6120565245,95.46946591315898
cache_192,,,4825522.042741279,110.44743444994992
cache_192,,,5582586.2688627,127.77525944967728
cache_192,,,6458424.430196991,147.82160408470895
cache_192,,,7471670.675868082,171.0129701813068
cache_192,,,8643882.620598279,197.84277238307828
cache_192,,,10000000.0,228.8818359375
cache_256,,,100.0,0.0030517578125
cache_256,,,115.68875283162821,0.003530540552723029
cache_256,,,133.83887531737562,0.004084438333660145
cache_256,,,154.8365256585499,0.004725235768388364
cache_256,,,179.1284454622004,0.0054665663288025025
cache_256,,,207.23146452190295,0.006324202408505339
cache_256,,,239.74349678010785,0.007316390892947627
cache_256,,,277.35626141984153,0.008464241376337937
cache_256,,,320.869999737045,0.009792175284944001
cache_256,,,371.21050090663607,0.01132844546223865
cache_256,,,429.4487988789272,0.013105737270475074
cache_256,,,496.8239594734388,0.015161863997602502
cache_256,,,574.7694424835353,0.01754057136485398
cache_256,,,664.9435996665046,0.02029246825154128
cache_256,,,769.2649574879146,0.023476103438962236
cache_256,,,889.9530352885233,0.027159211281998392
cache_256,,,1029.5755673125127,0.0314201528110508
cache_256,,,1191.1031332830069,0.03634958292489645
cache_256,,,1377.9723598335568,0.04205237914531118
cache_256,,,1594.1590374559996,0.04864987296923827
cache_256,,,1844.2627085855347,0.056282431292283164
cache_256,,,2133.604526501411,0.06511244282536044
cache_256,,,2468.340467068651,0.07532777304286654
cache_256,,,2855.5923019901093,0.08714576116913175
cache_256,,,3303.5991201283396,0.10081784424219786
cache_256,,,3821.892620633119,0.11663490663553219
cache_256,,,4421.499907374487,0.13493346885298116
cache_256,,,5115.178099293145,0.15610284726846757
cache_256,,,5917.685748188825,0.18059343713955153
cache_256,,,6846.096838574657,0.20892629512251762
cache_256,,,7920.164050192557,0.24170422516456777
cache_256,,,9162.73901188674,0.2796246036342389
cache_256,,,10600.258488068825,0.32349421655483473
cache_256,,,12263.306841775644,0.37424642461473523
cache_256,,,14187.266741165962,0.4329610211537464
cache_256,,,16413.0719537513,0.5008872056198517
