seed,target_zipf_alpha,risk_shift,bits_per_key,method,first_seen_invalid_forward_rate,probe_cost,backend_reduction,amq_rank,valid_rejects
0,0.4,0.5,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
0,0.4,0.5,12.0,Adaptive tag,0.00024518607390317925,1.0,0.908868012660088,,0
1,0.4,0.5,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
1,0.4,0.5,12.0,Risk partition,0.0029780993763826535,8.669605089423017,0.9063835460214703,3,0
1,0.4,0.5,12.0,TRAPS learned,0.002926333991809326,8.690490033746308,0.9064306054619915,2,0
1,0.4,0.5,12.0,Oracle AMQ,0.002786706366592494,8.70522296835592,0.9065575396667341,1,0
1,0.4,0.5,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
1,0.4,0.5,12.0,Adaptive tag,0.00022796126440821466,1.0,0.9088836715778107,,0
2,0.4,0.5,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
2,0.4,0.5,12.0,Risk partition,0.0029616521929696446,8.62281660967539,0.9063984980063913,3,0
2,0.4,0.5,12.0,TRAPS learned,0.0029165072005556724,8.646867058819641,0.9064395389085858,2,0
2,0.4,0.5,12.0,Oracle AMQ,0.0027856725651568288,8.647826810930884,0.906558479486221,1,0
2,0.4,0.5,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
2,0.4,0.5,12.0,Adaptive tag,0.00022719575788519706,1.0,0.9088843674928316,,0
3,0.4,0.5,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
3,0.4,0.5,12.0,Risk partition,0.0029383896390354726,8.855635581050818,0.906419645782695,2,0
3,0.4,0.5,12.0,TRAPS learned,0.0029688400397439524,8.876126748795855,0.9063919636002328,3,0
3,0.4,0.5,12.0,Oracle AMQ,0.0027833590475390348,8.760465810601573,0.9065605826840555,1,0
3,0.4,0.5,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
3,0.4,0.5,12.0,Adaptive tag,0.00023127248331189916,1.0,0.9088806613788074,,0
4,0.4,0.5,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
4,0.4,0.5,12.0,Risk partition,0.0030754965510258595,8.587037612224197,0.906295003135431,2,0
4,0.4,0.5,12.0,TRAPS learned,0.003106508611186897,8.587580902427508,0.9062668103534665,3,0
4,0.4,0.5,12.0,Oracle AMQ,0.0028765186508604335,8.59344860275534,0.9064758921355814,1,0
4,0.4,0.5,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
4,0.4,0.5,12.0,Adaptive tag,0.00024199685780341193,1.0,0.9088709119474514,,0
5,0.4,0.5,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
5,0.4,0.5,12.0,Risk partition,0.0030593746443279063,8.59730993864677,0.9063096594142473,3,0
5,0.4,0.5,12.0,TRAPS learned,0.003057620308778505,8.746980917910196,0.9063112542647468,2,0
5,0.4,0.5,12.0,Oracle AMQ,0.0027758668094249334,8.629311116914938,0.9065673938096137,1,0
5,0.4,0.5,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
5,0.4,0.5,12.0,Adaptive tag,0.00023818846161111746,1.0,0.9088743741258081,,0
6,0.4,0.5,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
6,0.4,0.5,12.0,Risk partition,0.0028484612645590292,8.71686280156484,0.9065013988504009,2,0
6,0.4,0.5,12.0,TRAPS learned,0.002849381851246644,8.692994254745342,0.9065005619534121,3,0
6,0.4,0.5,12.0,Oracle AMQ,0.002712080597247745,8.749595267301137,0.9066253812752293,1,0
